Time/S,Force/N
12.02,2.046617
12.03,2.047968
12.04,2.04978
12.05,2.050447
12.06,2.049867
12.07,2.04885
12.08,2.047523
12.09,2.045155
12.1,2.041912
12.11,2.039981
12.12,2.041578
12.13,2.045457
12.14,2.047586
12.15,2.046442
12.16,2.044455
12.17,2.043438
12.18,2.042429
12.19,2.040426
12.2,2.03774
12.21,2.035395
12.22,2.034569
12.23,2.034823
12.24,2.033703
12.25,2.030492
12.26,2.028561
12.27,2.030476
12.28,2.03294
12.29,2.031318
12.3,2.027186
12.31,2.025104
12.32,2.025549
12.33,2.025366
12.34,2.02318
12.35,2.021027
12.36,2.020987
12.37,2.022664
12.38,2.024531
12.39,2.025461
12.4,2.024531
12.41,2.022068
12.42,2.020049
12.43,2.019835
12.44,2.021154
12.45,2.022846
12.46,2.023641
12.47,2.023093
12.48,2.022163
12.49,2.022274
12.5,2.023641
12.51,2.024484
12.52,2.023355
12.53,2.02167
12.54,2.020979
12.55,2.01985
12.56,2.017323
12.57,2.015885
12.58,2.017085
12.59,2.018571
12.6,2.018452
12.61,2.018785
12.62,2.021464
12.63,2.024086
12.64,2.023482
12.65,2.020359
12.66,2.017903
12.67,2.017053
12.68,2.01637
12.69,2.015312
12.7,2.014907
12.71,2.015686
12.72,2.016775
12.73,2.01683
12.74,2.015201
12.75,2.012451
12.76,2.010179
12.77,2.009161
12.78,2.007437
12.79,2.003066
12.8,1.998433
12.81,1.997097
12.82,1.997852
12.83,1.996946
12.84,1.994332
12.85,1.993291
12.86,1.994864
12.87,1.995929
12.88,1.993553
12.89,1.988943
12.9,1.98551
12.91,1.984938
12.92,1.986106
12.93,1.986591
12.94,1.985947
12.95,1.986035
12.96,1.987616
12.97,1.990032
12.98,1.99194
12.99,1.991852
13,1.99012
13.01,1.988832
13.02,1.989063
13.03,1.990477
13.04,1.992559
13.05,1.994419
13.06,1.994936
13.07,1.995023
13.08,1.997121
13.09,2.000801
13.1,2.002652
13.11,2.001921
13.12,2.001182
13.13,2.001516
13.14,2.001937
13.15,2.002645
13.16,2.004703
13.17,2.006817
13.18,2.005998
13.19,2.002907
13.2,2.002048
13.21,2.004616
13.22,2.006682
13.23,2.005235
13.24,2.001278
13.25,1.997852
13.26,1.996732
13.27,1.996446
13.28,1.994991
13.29,1.992981
13.3,1.992631
13.31,1.995238
13.32,1.999879
13.33,2.003662
13.34,2.005084
13.35,2.006571
13.36,2.011021
13.37,2.016966
13.38,2.019715
13.39,2.017609
13.4,2.014836
13.41,2.016171
13.42,2.020701
13.43,2.02473
13.44,2.027472
13.45,2.029363
13.46,2.029451
13.47,2.027385
13.48,2.02446
13.49,2.022473
13.5,2.02295
13.51,2.02624
13.52,2.030889
13.53,2.034839
13.54,2.03805
13.55,2.04215
13.56,2.046919
13.57,2.049915
13.58,2.050273
13.59,2.049875
